Date,Tank_ID,pH_Treatment,Temp_Treatment,Temp_C,pH,mV,DO_mgL,DO_Percent,Conductivity,Salinity,TA,K1,K2,pCO2,pCO2insitu,HCO3,CO3,DIC,OmegaAragonite,OmegaCalcite
2022-08-24,TNK_18,Ambient,12,12.661,8.014408189423598,-87.7,10.6,124.1,50.6,33.1,2343.13601711704,NA,NA,449.51210987639377,449.51211295246935,2012.3157154727255,134.38637708001568,2164.9666440247747,2.065011364556581,3.2434643424147076
2022-08-24,TNK_SMP,Sump,10,9.8,7.997819675830716,-85.3,10.62,119.1,50.8,33.3,2334.0148326784197,NA,NA,463.90624337840615,463.90624685951354,2041.9907389728273,117.97445870825204,2180.612605447261,1.800937141168052,2.8421327926657414
2022-08-25,TNK_2,Low,14,14.201,7.679666116635773,-49.4,9.93,119.4,50,32.8,2330.13792310998,NA,NA,1054.087990248552,1054.0880066252996,2157.542597310158,70.21829422613871,2268.6663300915347,1.0844373914044347,1.6992047710757914
2022-08-25,TNK_3,Low,16,16.246,7.715428667317141,-52.4,8.93,111.1,49.7,32.6,2334.39404241327,NA,NA,975.1052255095717,975.1052389352337,2135.5718404530185,81.20112848470181,2252.397654081929,1.2625464906009367,1.9705063984852542
2022-08-25,TNK_4,Low,18,17.974,7.686316019906425,-51.5,7.84,100.8,49.8,32.7,2345.60674908381,NA,NA,1059.6079252250904,1059.6079405139944,2146.1477619713974,81.68309192822055,2264.6188223058325,1.2767759758298347,1.9842792474036528
2022-08-25,TNK_5,Low,20,19.717,7.530597294434135,-43.3,7.46,99.4,49.3,32.3,2309.05626167513,NA,NA,1546.6979894160443,1546.6980208373382,2160.8763259574484,60.73574595659606,2272.8590842063895,0.9571311425668254,1.482614447231483
2022-08-25,TNK_6,Low,22,22.022,7.778069189914332,-58.8,6.73,93.4,49.2,32.2,2332.7088389982,NA,NA,847.45559591436745,847.4556049056587,2062.181750117057,111.3704558543406,2199.9385442422204,1.7726949864263415,2.730128850182038
2022-08-25,TNK_7,Low,24,22.625,7.852979627495932,-63.5,6.22,87.8,49.14,32.1,2344.94745303148,NA,NA,702.796728401813,702.7967345089652,2023.745225773157,132.45824563570096,2177.751749362757,2.115006076107058,3.252825081752197
2022-08-25,TNK_8,Low,26,22.212,7.548473775899138,-45.4,6.07,89.4,49.78,32.5,2350.23394327319,NA,NA,1519.5522137405494,1519.5522425314352,2179.3938080497187,70.39795199140143,2296.7781475175493,1.1198806990673027,1.7225037346358756
2022-08-25,TNK_9,Low,12,12.375,7.6554773115483385,-47.2,9.53,110.1,50.6,32.9,2343.95683298281,NA,NA,1115.8818340292594,1115.8818531033894,2188.9359496375887,62.95014389882981,2297.69565741761,0.9673983926759417,1.5209869276143102
2022-08-25,TNK_10,Ambient,14,14.793,8.049097689546572,-70.8,8.49,101.2,49.8,32.6,2339.62466463359,NA,NA,412.22808178274533,412.22808425645314,1965.9317812565596,152.47093666849997,2134.1334176349014,2.3604232050549045,3.69570008083005
2022-08-25,TNK_11,Ambient,16,15.8,7.917590409512792,-63.8,7.87,97.3,49.7,32.5,2337.64352912003,NA,NA,583.5100342882896,583.5100391412026,2040.9119001086815,121.21686997202471,2183.7447799317515,1.8828854243615476,2.942319767890277
2022-08-25,TNK_12,Ambient,18,18.224,7.913937582298401,-64.8,7.25,93.5,49.6,32.5,2338.34317242632,NA,NA,591.8999004322872,591.8999051784247,2019.9992128357535,130.42226191280812,2170.8504532270626,2.042160740363797,3.173426605698247
2022-08-25,TNK_13,Ambient,20,19.982,7.944711165563246,-67.5,7.35,97.2,49.4,32.3,2340.03277984208,NA,NA,548.2668462979756,548.2668502239375,1984.243937633624,146.15987723526703,2148.436615682849,2.305717442315656,3.569200591608657
2022-08-25,TNK_14,Ambient,22,21.709,7.8908729069499195,-65.2,7.1,98.6,49.7,32.6,2338.23312235786,NA,NA,631.1217792934152,631.1217843111102,1998.2726065011082,139.72935238218324,2157.7686681656596,2.2169030182408074,3.413642495715194
2022-08-25,TNK_15,Ambient,24,23.556,7.689190169603741,-54.3,6.69,96.4,49.3,32.3,2346.1849972068194,NA,NA,1072.4694566088042,1072.4694705575318,2107.6969433717927,98.41540995312057,2238.164219695261,1.5766836214364535,2.417322156691591
2022-08-25,TNK_16,Ambient,26,23.333,7.932951719452222,-68.5,6.59,95.4,49.8,32.6,2345.24024289865,NA,NA,566.4995087126027,566.4995126214031,1956.540604647537,160.0533671996074,2133.591364642602,2.557720861240186,3.9208525639155014
2022-08-25,TNK_18,Ambient,12,12.903,7.9649809458898835,-65,9.64,111.5,50.2,32.9,2343.13601711704,NA,NA,512.4546778556642,512.4546818334773,2042.4391462252602,122.26385863926446,2185.3934178261225,1.8812543477864374,2.9547736763536006
2022-08-25,TNK_SMP,Sump,10,11.584,7.230792899809824,-23,10.04,112.8,49.2,31.9,2334.0148326784197,NA,NA,3079.7314440851333,3079.7315919159846,2276.7885464196106,23.291117986954028,2430.559367612396,0.35851911348227444,0.5658862101684093
2022-08-26,TNK_2,Low,14,14.025,7.627378050578859,-46.3,10.31,99.6,50.4,33.1,2330.13792310998,NA,NA,1196.1794730138333,1196.1794941789174,2175.526758770012,62.81534717873289,2284.9247529607237,0.9685012676301626,1.517063455867012
2022-08-26,TNK_3,Low,16,16.302,7.643828111192456,-48.3,7.68,9.57,49.9,32.7,2334.39404241327,NA,NA,1164.5557142370749,1164.5557333632269,2162.795814623328,70.06136317109585,2275.3061005541804,1.0890858131816028,1.6991602745867342
2022-08-26,TNK_4,Low,18,18.681,7.660014073353263,-50.3,6.7,87.4,49.8,32.7,2345.60674908381,NA,NA,1134.2758702621013,1134.2758875247762,2152.4076906261225,79.18946108960567,2270.1916479345396,1.2409086941123957,1.9252418029325002
2022-08-26,TNK_5,Low,20,20.743,7.509958710402008,-42.5,7.04,95.8,49.7,32.6,2309.05626167513,NA,NA,1630.8989083732465,1630.898942564036,2161.1251690892996,60.64592759334664,2274.203372347206,0.9583255493689599,1.4794404031089965
2022-08-26,TNK_6,Low,22,22.617,7.630845532051807,-50.4,6.05,84.7,49.7,32.6,2332.7088389982,NA,NA,1229.543761127243,1229.5437798175392,2127.2691758398078,84.53273884570764,2249.3921211922184,1.3464927003105471,2.068233703458344
2022-08-26,TNK_7,Low,24,24.084,7.627918786657961,-50.9,6.79,97.7,49.8,32.6,2344.94745303148,NA,NA,1250.4196958128866,1250.4197145648423,2129.826207808384,88.73081101107093,2255.3533949577004,1.422955153716089,2.1766526246686246
2022-08-26,TNK_8,Low,26,22.802,7.629611383120305,-50.4,6.5,91.3,49.9,32.7,2350.23394327319,NA,NA,1242.6510344855935,1242.651053502091,2142.240190771543,85.68506210591254,2265.7081837362507,1.36530406024867,2.095528876089499
2022-08-26,TNK_9,Low,12,12.318,7.748989125648441,-52.5,9.43,107.5,50,32.7,2343.95683298281,NA,NA,886.4619953343934,886.4620073870477,2156.0807581144904,76.35229773155747,2268.9363464756407,1.1740681496833039,1.8469729838373845
2022-08-26,TNK_10,Ambient,14,14.022,7.913997874889208,-62.7,8.7,103.4,49.81,32.6,2339.62466463359,NA,NA,586.6220990222366,586.622104113825,2060.6615551952805,113.67641320732162,2197.257198513974,1.7561053332881293,2.7539485918685966
2022-08-26,TNK_11,Ambient,16,16.022,7.769735910037687,-55.4,7.76,96.5,49.9,32.7,2337.64352912003,NA,NA,850.8806828726196,850.8806931429202,2115.6922704099284,90.6135496867726,2237.5794605046367,1.4073411019216369,2.1970687629595314
2022-08-26,TNK_12,Ambient,18,17.901,7.744034543683667,-54.8,7.65,98.5,49.8,32.7,2338.34317242632,NA,NA,913.5657603349288,913.5657717170093,2114.3718994528294,91.65905673535414,2237.815123671036,1.432346004577079,2.226443516443533
2022-08-26,TNK_13,Ambient,20,20.017,7.884667134029015,-64,7.71,103.3,49.6,32.5,2340.03277984208,NA,NA,641.2024572223779,641.2024625875642,2022.0556296133923,130.54362264971743,2173.64204259918,2.0578136854754057,3.1835598934351275
2022-08-26,TNK_14,Ambient,22,21.749,7.83242190101863,-61.8,7.07,97.2,49.8,32.6,2338.23312235786,NA,NA,735.5701139137708,735.5701207241489,2035.1972272807193,124.5755286043603,2182.786079268572,1.976814780653632,3.043620719376377
2022-08-26,TNK_15,Ambient,24,25.201,7.592178463402487,-49.3,7.02,102.7,49.8,32.6,2346.1849972068194,NA,NA,1372.7048975531534,1372.704919636883,2139.1498687294606,85.50356522809996,2263.917907676499,1.3786998040665397,2.102083526182389
2022-08-26,TNK_16,Ambient,26,24.905,7.82968838774178,-63.2,6.48,93.8,49.9,32.7,2345.24024289865,NA,NA,745.313251547807,745.3132580968503,2011.1446833959947,137.7546388759101,2170.364678058169,2.2167992305236917,3.3820142559076896
2022-08-26,TNK_18,Ambient,12,12.914,7.907742206962899,-61.7,9.25,107.8,50.8,33.3,2343.13601711704,NA,NA,592.5114132436089,592.5114185591603,2072.4772970783674,109.87018348579326,2206.201485353261,1.6879693351316276,2.6487924861172356
2022-08-26,TNK_SMP,Sump,10,11.442,7.901572142201844,-60.8,12.04,124.8,49.8,32.1,2334.0148326784197,NA,NA,601.671905822227,601.6719114799421,2088.0078104929203,100.03914743481799,2213.6225841713895,1.5384207278914712,2.4276346402658797
2022-08-27,TNK_2,Low,14,12.51,7.699303242586849,-49.8,9.81,113.6,49.6,32.5,2495.2411369073893,NA,NA,1070.2912301801405,1070.2912476805518,2316.9633819018213,73.35926951140918,2434.1843393933787,1.12936528805743,1.7768373192694953
2022-08-27,TNK_3,Low,16,16.315,7.682264599776859,-50.5,8.41,104.9,50,32.8,2457.24596851574,NA,NA,1114.6658109760695,1114.665828492742,2262.317332227868,80.30748508318794,2383.214033592724,1.2478920860993212,1.9464099686201344
2022-08-27,TNK_4,Low,18,18.143,7.733651551142117,-54.3,7.58,97.8,49.9,32.8,2506.8636629221296,NA,NA,1006.6837160951785,1006.6837298453516,2272.0557802253734,97.29451257408425,2404.1101977632093,1.5210275505464304,2.3623590410520077
2022-08-27,TNK_5,Low,20,20.298,7.564743914863168,-45.5,7.48,100.5,49.8,32.6,2455.27264560681,NA,NA,1514.226007969882,1514.226037717533,2282.7169903234935,71.47438486747276,2403.470097998794,1.1274187575371775,1.742494591995097
2022-08-27,TNK_6,Low,22,22.492,7.7328066538802,-56.3,6.96,97.2,50,32.8,2446.67043992781,NA,NA,995.7626538904269,995.762666178696,2182.0215979565114,109.70279031895282,2322.2302396229175,1.7447298071625534,2.6795272783295223
2022-08-27,TNK_7,Low,24,25.085,7.801847538633448,-61.7,7.11,103.7,49.7,32.2,2458.15253517755,NA,NA,844.8024564417241,844.8024648279952,2131.48211876955,136.08450416663237,2291.86119532725,2.197525451196226,3.355224823979662
