Date ,Tank_Number,Temp_C,DO_mgL,DO_Percent,Conductivity,Salinity,YSI_Temp,mV
8/29/2022,TNK_7,26.506,7.71,104.7,50,32.7,27.1,-60.6
8/29/2022,TNK_8,32.583,6.32,88.7,50.4,32.8,32.8,-62.6
8/29/2022,TNK_9,12.883,10.38,120.5,51.2,33.6,13,-63.4
8/29/2022,TNK_10,13.955,9.08,107.8,50,32.7,14.1,-70.4
8/29/2022,TNK_11,17.552,7.9,100.7,49.9,32.7,17.7,-71
8/29/2022,TNK_12,20.125,7.52,101,49.9,32.7,20.3,-72.9
8/29/2022,TNK_13,22.25,7.56,105.2,50,32.5,22.4,-70.7
8/29/2022,TNK_14,26.056,8.1,100,50,32.7,26.3,-66.5
8/29/2022,TNK_15,27.421,7.05,105.9,50,32.7,27.6,-69.2
8/29/2022,TNK_16,29.643,6.55,86,50.5,32.9,29.8,-66.9
8/29/2022,TNK_18,13.444,11.69,113.2,50.7,33.2,13.7,-65.2
8/29/2022,TNK_SMP,10.875,10.63,114.7,50.2,32.8,11,-69.6
8/30/2022,TNK_2,12.375,10.37,119.7,49.9,32.6,12.6,-49.4
8/30/2022,TNK_3,16.358,9.53,118.4,49.8,32.6,16.4,-46.8
8/30/2022,TNK_4,18.316,7.37,94.9,49.9,32.7,18.4,-50.4
8/30/2022,TNK_5,20.534,7.51,101.5,49.9,32.7,20.7,-44.9
8/30/2022,TNK_6,22.515,7.06,98.9,49.9,32.7,22.8,-50.9
8/30/2022,TNK_7,23.712,7.12,101.9,49.8,32.6,23.9,-51
8/30/2022,TNK_8,24.73,6.76,98.1,49.9,32.7,24.8,-50.3
8/30/2022,TNK_9,12.42,9.86,110.9,49.8,32.6,12.6,-51.1
8/30/2022,TNK_10,13.86,8.82,104.2,49.8,32.6,14,-61
8/30/2022,TNK_11,15.904,8.31,102.8,49.8,32.6,16.1,-61.4
8/30/2022,TNK_12,17.821,8.08,103.8,49.9,32.6,17.9,-60.1
8/30/2022,TNK_13,20.214,7.89,106.1,49.7,32.6,20.6,-59.3
8/30/2022,TNK_14,23.919,6.99,100.6,49.6,32.6,24.2,-59.3
8/30/2022,TNK_15,22.755,7.55,106.9,49.5,32.4,22.9,-58.9
