time,sea_water_temperature,sea_water_temperature_qc_agg,z
UTC,degree_Celsius,,m
2022-08-01T03:41:00Z,20.4258,1,0.0
2022-08-01T03:45:00Z,20.1415,1,0.0
2022-08-01T03:49:00Z,20.0121,1,0.0
2022-08-01T03:53:00Z,20.4504,1,0.0
2022-08-01T03:57:00Z,20.551,1,0.0
2022-08-01T04:01:00Z,20.3661,1,0.0
2022-08-01T04:05:00Z,19.9463,1,0.0
2022-08-01T04:09:00Z,20.0977,1,0.0
2022-08-01T04:13:00Z,19.6476,1,0.0
2022-08-01T04:17:00Z,19.8542,1,0.0
2022-08-01T04:21:00Z,20.2637,1,0.0
2022-08-01T04:25:00Z,20.4486,1,0.0
2022-08-01T04:29:00Z,20.3497,1,0.0
2022-08-01T04:33:00Z,20.3541,1,0.0
2022-08-01T04:37:00Z,19.8564,1,0.0
2022-08-01T04:41:00Z,20.1485,1,0.0
2022-08-01T04:45:00Z,19.9445,1,0.0
2022-08-01T04:49:00Z,20.0927,1,0.0
2022-08-01T04:53:00Z,19.8232,1,0.0
2022-08-01T04:57:00Z,19.8713,1,0.0
2022-08-01T05:01:00Z,19.6673,1,0.0
2022-08-01T05:05:00Z,20.1042,1,0.0
2022-08-01T05:09:00Z,19.9585,1,0.0
2022-08-01T05:13:00Z,19.979,1,0.0
2022-08-01T05:17:00Z,20.1658,1,0.0
2022-08-01T05:21:00Z,19.9646,1,0.0
2022-08-01T05:25:00Z,19.936,1,0.0
2022-08-01T05:29:00Z,19.9479,1,0.0
2022-08-01T05:33:00Z,20.069,1,0.0
2022-08-01T05:37:00Z,19.9392,1,0.0
2022-08-01T05:41:00Z,20.0932,1,0.0
2022-08-01T05:45:00Z,20.4099,1,0.0
2022-08-01T05:49:00Z,20.2577,1,0.0
2022-08-01T05:53:00Z,20.2759,1,0.0
2022-08-01T05:57:00Z,20.216,1,0.0
2022-08-01T06:01:00Z,20.2526,1,0.0
2022-08-01T06:05:00Z,20.3441,1,0.0
2022-08-01T06:09:00Z,20.3315,1,0.0
