Time_Point,Cage_ID,Placement_Time_Before,Collection_Time_After,Date_Time_Measured,Drying_Duration,Algae_ID,Treatment_Control,Disk_Weight,Algae_Weight_Before,Disk_and_Algae_Weight_Before,Disk_and_Algae_Weight_After,Algae_Weight_After,Condition ,Notes
2,161679,8/28/22 1:30,8/30/22 17:30,8/30/22 22:33,5:03,79,T,14.6608,1.4312,16.0376,15.1,0.6505,degraded,
2,161680,8/28/22 1:30,8/30/22 17:30,8/30/22 22:37,5:07,Control-80,C,14.5953,1.8261,16.4449,15.526,,control,
3,161601,8/30/22 23:00,9/1/22 17:30,9/1/22 18:18,0:48,01,T,14.4985,2.266,16.7017,16.3992,1.7433,not_consumed,
3,161602,8/30/22 23:00,9/1/22 17:30,9/1/22 18:20,0:50,02,T,14.5423,2.3157,16.879,16.1884,1.5706,consumed,
3,161603,8/30/22 23:00,9/1/22 17:30,9/1/22 18:21,0:51,03,T,14.5231,2.2202,16.704,16.216,1.5665,consumed,
3,161604,8/30/22 23:00,9/1/22 17:30,9/1/22 18:23,0:53,04,T,14.5581,2.1567,16.7188,16.6382,1.9043,partially_consumed,
3,161605,8/30/22 23:00,9/1/22 17:30,9/1/22 18:25,0:55,Control-5,C,14.4196,1.7891,16.2354,16.0375,1.4823,control,
3,161606,8/30/22 23:00,9/1/22 17:30,9/1/22 18:27,0:57,06,T,14.5482,2.0945,16.6181,15.8265,1.1844,consumed,
3,161607,8/30/22 23:00,9/1/22 17:30,9/1/22 18:29,0:59,07,T,14.5883,2.3227,16.9372,15.9204,1.282,consumed,
3,161608,8/30/22 23:00,9/1/22 17:30,9/1/22 18:30,1:00,08,T,14.4987,2.0591,16.5536,15.6013,0.9955,consumed,
3,161609,8/30/22 23:00,9/1/22 17:30,9/1/22 18:33,1:03,09,T,14.4525,2.035,16.4013,15.7674,1.2508,consumed,
3,161610,8/30/22 23:00,9/1/22 17:30,9/1/22 18:36,1:06,Control-10,C,14.49,2.4381,16.9434,16.3092,1.7391,control,
3,161611,8/30/22 23:00,9/1/22 17:30,9/1/22 18:39,1:09,11,T,14.599,2.0735,16.7157,16.0142,1.3364,consumed,
3,161612,8/30/22 23:00,9/1/22 17:30,9/1/22 18:40,1:10,12,T,14.5376,1.7363,16.3167,15.5956,1.0071,consumed_degraded,
3,161613,8/30/22 23:00,9/1/22 17:30,9/1/22 18:43,1:13,13,T,14.5694,1.6433,16.246,15.56,0.9062,consumed,
3,161614,8/30/22 23:00,9/1/22 17:30,9/2/22 18:43,1:13,14,T,14.6655,2.3025,16.9888,16.3887,1.5461,consumed,
3,161615,8/30/22 23:00,9/1/22 17:30,9/1/22 18:51,1:21,Control-15,C,14.509,2.4055,16.9649,16.5178,1.8455,control,
3,161616,8/30/22 23:00,9/1/22 17:30,9/1/22 18:56,1:26,16,T,14.6003,1.7668,16.3831,16.1047,1.3887,consumed,
3,161617,8/30/22 23:00,9/1/22 17:30,9/1/22 19:00,1:30,17,T,14.429,2.7353,17.1389,16.0736,1.5298,consumed,
3,161618,8/30/22 23:00,9/1/22 17:30,9/1/22 19:03,1:33,18,T,14.5153,1.8574,16.3945,15.3735,0.7952,consumed_degraded,
3,161619,8/30/22 23:00,9/1/22 17:30,9/1/22 19:06,1:36,19,T,14.4927,2.0695,16.5967,16.0274,1.3737,partially_degraded,flipped over so couldn't tell if consumed
3,161620,8/30/22 23:00,9/1/22 17:30,9/1/22 19:10,1:40,Control-20,C,14.533,1.9969,16.5553,15.9653,1.2928,control,
